thesis_id,chat_id,token_file,model,long_prompt_pricing,input_rate_usd_per_1m,cached_input_rate_usd_per_1m,output_rate_usd_per_1m,effective_input_rate_usd_per_1m,effective_cached_input_rate_usd_per_1m,effective_output_rate_usd_per_1m,input_tokens,cached_input_tokens,cache_write_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,input_cost_usd,cached_input_cost_usd,cache_write_input_cost_usd,output_cost_usd,total_cost_usd,cache_ratio,reasoning_output_share,effective_cost_per_1m_total_tokens_usd
thesis_007,01a0abfe-0e8b-7af2-a798-65548afc8841,thesis_007/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,2866583,2682752,0,183831,42731,8066,2909314,0.919155,1.341376,0,1.28193,3.542461,0.9358710353,0.1887622569,1.2176275919
thesis_009,01a0ac1d-6742-74f0-9a3e-ef71820f9881,thesis_009/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,5617285,5018496,0,598789,40047,10634,5657332,2.993945,2.509248,0,1.20141,6.704603,0.8934024177,0.2655379929,1.1851174723
thesis_010,01a0ac4a-0361-74a3-9aa4-60905702716c,thesis_010/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,1585897,1459712,0,126185,28702,9409,1614599,0.630925,0.729856,0,0.86106,2.221841,0.920433042,0.3278168769,1.3760946216
thesis_011,01a0ac4a-bbb7-7083-bf0c-a230dd6c737e,thesis_011/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,2206863,2063488,0,143375,37608,9403,2244471,0.716875,1.031744,0,1.12824,2.876859,0.9350322154,0.2500265901,1.2817536961
thesis_012,01a0ae85-d99a-7570-a050-39d806bd073f,thesis_012/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,1558917,1272704,0,286213,26267,9491,1585184,1.431065,0.636352,0,0.78801,2.855427,0.8164026693,0.3613279019,1.8013221178
thesis_013,01a0ae90-86c5-7f10-ae2d-71b2fc9fda92,thesis_013/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,1014871,900480,0,114391,24441,8668,1039312,0.571955,0.45024,0,0.73323,1.755425,0.8872851821,0.3546499734,1.6890260095
thesis_014,01a0ae98-4e92-76f1-bf7f-0b4f8910443e,thesis_014/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,2102561,1944576,0,157985,35062,11017,2137623,0.789925,0.972288,0,1.05186,2.814073,0.9248606818,0.3142148195,1.3164496265
thesis_015,01a0ae9f-eb2a-7910-afe2-88b2d7d22387,thesis_015/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,1063025,929024,0,134001,28507,6394,1091532,0.670005,0.464512,0,0.85521,1.989727,0.8739436984,0.224295787,1.8228755547
thesis_017,01a0afb6-e671-76f2-95c4-d4345fc89a3e,thesis_017/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,3719375,3470464,0,248911,44562,12042,3763937,1.244555,1.735232,0,1.33686,4.316647,0.9330771971,0.270230241,1.1468435843
thesis_019,01a0b125-6140-7b12-a12b-b4e681858e37,thesis_019/agent_e2e/agent_tokens.json,gpt-5.5,false,5,0.5,30,5,0.5,30,4329396,4089856,0,239540,39605,7983,4369001,1.1977,2.044928,0,1.18815,4.430778,0.9446712659,0.2015654589,1.0141398457
